Breed,Cold tolerance,Ease of training,Energy level,Exercise needs,Friendliness toward other dogs,Friendliness toward other pets,Friendliness toward strangers,Grooming needs,Heat tolerance,Playfullness,Protection ability,Watchdog ability
Affenpinscher,0,0,2,1,1,1,1,2,1,2,0,2
Afghan Hound,1,0,0,1,1,1,0,2,1,1,0,2
Airedale Terrier,1,1,2,1,0,0,1,2,1,2,2,2
Akita,2,1,1,1,1,1,0,0,0,1,2,2
Alaskan Malamute,2,0,1,2,0,0,2,1,0,1,1,1
American Cocker Spaniel,1,2,1,1,2,2,2,2,1,2,0,2
American Eskimo Dog (Miniature),2,2,1,1,1,2,1,1,0,2,0,2
American Eskimo Dog (Standard),2,2,1,1,1,2,1,1,0,2,0,2
American Eskimo Dog (Toy),2,2,1,1,1,2,1,1,0,2,0,2
American Foxhound,1,0,2,2,2,1,2,0,1,1,0,2
American Staffordshire Terrier,1,0,1,1,0,0,1,0,1,1,2,2
American Water Spaniel,1,1,2,1,0,1,0,1,1,2,1,2
Anatolian Shepherd,2,1,0,1,0,1,0,0,1,1,2,2
Australian Cattle Dog,1,2,2,2,1,0,0,0,1,2,2,2
Australian Shepherd,1,2,2,2,1,1,0,1,1,2,2,2
Australian Terrier,1,0,1,1,1,1,0,1,1,1,0,2
Basenji,0,0,2,1,0,0,1,0,1,1,0,2
Basset Hound,1,0,0,0,1,1,1,0,1,0,0,2
Beagle,1,0,1,1,2,2,2,0,1,1,0,2
Bearded Collie,2,1,2,2,1,1,1,2,1,2,0,2
Beauceron,1,2,2,2,0,0,0,0,1,1,2,2
Bedlington Terrier,1,0,1,1,1,0,2,2,1,1,0,2
Belgian Malinois,1,2,2,2,1,1,0,0,1,2,2,2
Belgian Sheepdog,1,2,2,2,1,1,0,1,1,2,2,2
Belgian Tervuren,1,2,2,2,1,1,0,1,1,2,2,2
Bernese Mountain Dog,2,2,0,0,1,2,1,1,0,0,0,1
Bichon Frise,1,2,2,0,2,2,2,2,1,2,0,2
Black Russian Terrier,2,1,0,1,1,2,0,1,0,0,2,2
Black and Tan Coonhound,1,0,0,2,1,1,0,0,1,1,1,2
Bloodhound,1,0,1,1,1,2,1,0,0,0,0,2
Border Collie,1,2,2,2,1,0,0,1,1,2,1,2
Border Terrier,1,2,1,1,1,0,1,1,1,1,0,2
Borzoi,2,1,1,1,1,0,0,1,0,1,1,0
Boston Terrier,0,1,1,0,1,2,1,0,0,1,0,2
Bouvier des Flandres,2,1,1,2,1,1,1,2,0,0,2,2
Boxer,0,1,2,1,1,1,1,0,0,2,1,1
Briard,1,0,1,2,0,1,0,2,0,1,2,2
Brittany,1,2,2,2,1,1,2,0,1,2,0,2
Brussels Griffon,0,1,2,0,1,1,0,2,0,2,0,2
Bull Terrier,1,0,2,1,0,1,1,0,1,2,2,2
Bulldog,0,0,0,0,0,2,2,0,0,2,0,0
Bullmastiff,1,0,0,0,0,2,0,0,0,0,2,2
Cairn Terrier,1,0,2,1,1,0,0,1,1,1,0,2
