"k","rmse.train","rmse.test"
1,4.54454929195081,4.25768817105283
2,4.15470032830698,3.93220162583847
3,3.97961018978646,3.87517346312854
4,3.83509878386808,3.7129531474147
5,3.73359143784212,3.64008871539483
6,3.60999179287077,3.61366147739023
7,3.51411272057743,3.57510989850801
8,3.41759725165985,3.54883674688064
9,3.2978708551709,3.49702596396557
10,3.20144659134123,3.4889273935307
11,3.11323342989556,3.43855375986867
12,3.03605872912873,3.40286139479321
13,2.95518376076883,3.37948604130966
14,2.85956070760893,3.30905015684744
15,2.78376247796375,3.29010229848647
16,2.71317216258266,3.27603599186202
17,2.64029399326008,3.24927427800654
18,2.57382095662944,3.22475455775375
19,2.48922462817654,3.18953411732359
20,2.42075170561465,3.12860635503175
21,2.35279656997503,3.10672794658494
22,2.28708171487805,3.09335555807129
23,2.22866550122829,3.07087814425781
24,2.17029962091052,3.05651593394093
25,2.11746935101703,3.01279533906398
26,2.06148688538374,2.98275774714475
27,2.00938873610633,2.95248816016402
28,1.95441410694788,2.93437761712121
29,1.90363925349409,2.92985219448449
30,1.85599241461157,2.86201184675565
31,1.79538416098645,2.86232367825306
32,1.73666687249203,2.83957289715048
33,1.67191326672851,2.79862610966635
34,1.62369649590776,2.78437497333487
35,1.57974741727154,2.76287366060016
36,1.53491975783736,2.74682796118369
37,1.49363618043895,2.72132914012358
38,1.43400037483302,2.70497619589074
39,1.39220110759547,2.7008610813556
40,1.36759837245764,2.65810160774328
41,1.33488207839382,2.6443288271722
42,1.27559632722263,2.63519091617994
43,1.23940858886036,2.62188069902035
44,1.21899155571541,2.58004630469787
45,1.20622662388938,2.56094710384842
46,1.19174451273271,2.54319171377561
47,1.16901779079253,2.53980930586184
48,1.1457831627502,2.52330333591492
49,1.13204706130475,2.50163614769446
50,1.12320062634507,2.49515761346359
51,1.11633293986336,2.4942134206226
52,1.11647154225463,2.49852332625357
53,1.11652391928928,2.50072236985219
54,1.11567410913147,2.50027819787333
55,1.11444906792121,2.48992526690914
56,1.11426762568945,2.49498570144415
57,1.11413988487291,2.49858936221763
58,1.11666420011579,2.5034100944334
59,1.11725130334316,2.50371597530456
60,1.11816633539183,2.5057163456838
61,1.11864048249641,2.50665038548312
62,1.11939968228146,2.50855707687973
63,1.11997196374699,2.5104733683324
64,1.12032209386268,2.51244102682733
65,1.12045254455848,2.51423283146472
66,1.1204002348398,2.51577774587754
67,1.12003242602673,2.51656489527149
68,1.11978854441282,2.51740738012025
69,1.11949464887415,2.51798728380031
70,1.11917434409735,2.51832029280848
71,1.11884339287939,2.51850425533903
72,1.11851112655045,2.51861551032279
73,1.11811027918465,2.5187363447989
74,1.11779334513895,2.5187773990262
75,1.11746942574836,2.51882871374052
76,1.11713113355426,2.51878032771802
77,1.11676968210162,2.51877829148205
78,1.11637563890162,2.51880424203889
79,1.11588730122931,2.51887417225994
80,1.1153931782381,2.51894591352211
81,1.11481675334981,2.51901968676279
82,1.10695844119061,2.51298522715638
83,1.10600899553479,2.51284554137815
84,1.10480488395725,2.51254502840511
85,1.10326415568756,2.51196237053324
86,1.10151119387393,2.51090090949823
87,1.10212037271946,2.50996662853893
88,1.11539866504754,2.51431995257631
89,1.10331730573741,2.50579563939853
90,1.10426867656289,2.50203875834937
91,1.10015669371714,2.49299174147193
92,1.10330345330444,2.4987452390139
93,1.10304655559447,2.49549276761007
94,1.10318312016012,2.49028349456142
95,1.10319490241097,2.48650366417163
96,1.09666552187991,2.47482263018158
97,1.10190513298487,2.48131119069293
98,1.10098275303115,2.47509600930507
99,1.10088582063538,2.46665217032684
100,1.09951432799814,2.47000365432811
